address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
606 7th St,"Bio-Tech/ Lab Space,Fenced Lot,Property Manager on Site,Raised Floor,Security System,Skylights,Storage Space","126,000 SF",Schenectady,"Rental Rate,$4.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,000 SF,Rentable Building Area,126,000 SF,Property Type,Industrial,Year Built,1943",11/6/2018,14309493,$0.33 SF/Mo,Industrial,"2,000 - 120,000 SF",4 Spaces,NY,For Lease,Industrial,"[('Albany International Airport', '28 min drive', '12.5 mi'), ('Albany, NY Port', '36 min drive', '22.6 mi'), ('J AND L LUMBER TRANSFER', '14 min drive', '7.5 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Electric"
2350 Twelfth Ave,"Bus Line,Cooler","17,584 SF",New York,"Rental Rate,$27.00 /SF/YR,Rentable Building Area,17,584 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",11/8/2018,14322029,$2.25 SF/Mo,Industrial,"4,833 - 17,584 SF",3 Spaces,NY,For Lease,Industrial,"[('137 Street-City College Transit Stop', '7 min walk', '0.3 mi'), ('125 Street', '12 min walk', '0.6 mi'), ('135 Street', '14 min walk', '0.7 mi'), ('145 Street', '14 min walk', '0.7 mi'), ('125 Street', '20 min walk', '1.0 mi'), ('Harlem-125th Street Station Commuter Rail (Hudson, Harlem, New Haven Lines)', '4 min drive', '1.9 mi'), ('Yankees-E 153rd Street Station Commuter Rail (Hudson Line)', '7 min drive', '3.1 mi'), ('La Guardia Airport', '16 min drive', '7.9 mi'), ('John F. Kennedy International Airport', '29 min drive', '19.0 mi'), ('Newark Liberty International Airport', '35 min drive', '20.2 mi'), ('NY - Red Hook Container Terminal', '23 min drive', '13.9 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '16 min drive', '9.4 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer"
25-45 Rutter St,,"27,060 SF",Rochester,"Rental Rate,$5.50 /SF/YR,Rentable Building Area,27,060 SF,Property Type,Industrial,Year Built,1939,Property Subtype,Warehouse",2/27/2019,15291078,$0.46 SF/Mo,Industrial,"6,963 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '10 min drive', '5.0 mi'), ('Albany, NY Port', '271 min drive', '228.8 mi'), ('J. MacKenzie Limited', '18 min drive', '8.5 mi')]",
1-9 Carpenter Ave,,"2,500 SF",Newburgh,"Rental Rate,$12.48 /SF/YR,Rentable Building Area,2,500 SF,Property Type,Industrial,Year Built,1910,Property Subtype,Warehouse",2/28/2019,15302395,$1.04 SF/Mo,Industrial,"2,500 SF",1 Space,NY,For Lease,Industrial,"[('Beacon Station Commuter Rail (Hudson Line)', '10 min drive', '5.0 mi'), ('Breakneck Ridge Station Commuter Rail (Hudson Line)', '18 min drive', '9.7 mi'), ('Stewart International Airport', '14 min drive', '6.2 mi'), ('NY - Red Hook Container Terminal', '96 min drive', '70.7 mi'), (""Shepard'S Incorporated"", '57 min drive', '42.5 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer"
5 Warehouse Ln,,"75,100 SF",Elmsford,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,75,100 SF,Property Type,Industrial,Year Built,1957,Property Subtype,Warehouse",3/5/2019,15353325,$1.50 SF/Mo,Industrial,"8,004 SF",1 Space,NY,For Lease,Industrial,"[('Tarrytown Station Commuter Rail (Hudson Line)', '11 min drive', '4.9 mi'), ('Mount Pleasant Station Commuter Rail (Harlem Line)', '11 min drive', '5.2 mi'), ('Westchester County Airport', '19 min drive', '11.8 mi'), ('La Guardia Airport', '39 min drive', '27.3 mi'), ('John F. Kennedy International Airport', '49 min drive', '35.2 mi'), ('NY - Red Hook Container Terminal', '46 min drive', '33.0 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '21 min drive', '14.2 mi')]",
9 N Airmont Rd,"24 Hour Access,Bus Line,Fenced Lot,Property Manager on Site,Skylights","18,000 SF",Suffern,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,18,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse,Cross Streets,Hwy 59",2/13/2020,15329074,$1.25 SF/Mo,Industrial,"2,000 - 5,000 SF",2 Spaces,NY,For Lease,Industrial,"[('Suffern Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '6 min drive', '2.5 mi'), ('Mahwah Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '7 min drive', '3.6 mi'), ('Westchester County Airport', '40 min drive', '28.7 mi'), ('La Guardia Airport', '50 min drive', '36.2 mi'), ('Stewart International Airport', '51 min drive', '37.8 mi'), ('Port Newark Container Terminal', '53 min drive', '39.1 mi'), ('NS CONNECTING LINE BULK TRANSFER TERMINAL- SADDLE', '26 min drive', '19.8 mi')]","Lighting - Halide,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
131 Liberty Ave,,"24,000 SF",Mineola,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,24,000 SF,Property Type,Industrial,Year Built,1958,Property Subtype,Warehouse",3/5/2019,15360048,$1.17 SF/Mo,Industrial,"11,000 SF",1 Space,NY,For Lease,Industrial,"[('Mineola Station Commuter Rail (Ronkonkoma Branch, Oyster Bay Branch, Port Jefferson Branch)', '3 min drive', '1.0 mi'), ('East Williston Station Commuter Rail (Oyster Bay Branch)', '4 min drive', '1.4 mi'), ('John F. Kennedy International Airport', '22 min drive', '15.3 mi'), ('La Guardia Airport', '26 min drive', '16.6 mi'), ('Westchester County Airport', '57 min drive', '37.9 mi'), ('NY - Red Hook Container Terminal', '36 min drive', '22.9 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '26 min drive', '15.3 mi')]",Heating - Gas
7401 Willowbrook Rd,,"12,071 SF",Victor,"Rental Rate,$7.00 /SF/YR,Rentable Building Area,12,071 SF,Property Type,Industrial,Year Built,1989,Property Subtype,Warehouse",3/6/2019,15361847,$0.58 SF/Mo,Industrial,"12,071 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '29 min drive', '18.0 mi'), ('Albany, NY Port', '251 min drive', '213.3 mi'), ('J. MacKenzie Limited', '27 min drive', '17.2 mi')]",
65 Commerce St,"24 Hour Access,Bus Line,Courtyard,Mezzanine,Security System,Air Conditioning","11,000 SF",Brooklyn,"Rental Rate,$26.00 /SF/YR,Rentable Building Area,11,000 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse",11/18/2019,15389085,$2.17 SF/Mo,Industrial,"6,000 SF",1 Space,NY,For Lease,Industrial,"[('Smith-9 Streets Transit Stop', '(F, G)', '16 min walk'), ('0.8 mi', 'Carroll Street Transit Stop', '(F, G)'), ('19 min walk', '0.9 mi', 'Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)'), ('7 min drive', '2.7 mi', 'Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)'), ('9 min drive', '4.1 mi', 'La Guardia Airport'), ('22 min drive', '12.6 mi', 'John F. Kennedy International Airport'), ('26 min drive', '14.9 mi', 'Newark Liberty International Airport'), ('35 min drive', '15.9 mi', 'NY - Red Hook Container Terminal'), ('3 min drive', '0.7 mi', 'PORT OF NEW YORK AND NEW JERSEY'), ('3 min drive', '0.8 mi')]",Heating - Gas
183 King St,,"22,500 SF",Brooklyn,"Rental Rate,$23.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,3,000 SF,Rentable Building Area,22,500 SF,Property Type,Industrial,Year Built,1950",3/12/2019,15411087,$1.92 SF/Mo,Industrial,"3,000 - 7,500 SF",1 Space,NY,For Lease,Industrial,,
722 Myrtle Ave,,"55,000 SF",Brooklyn,"Rental Rate,$38.00 /SF/YR,Rentable Building Area,55,000 SF,Property Type,Industrial,Year Built,1915,Property Subtype,Warehouse",3/15/2019,15442222,$3.17 SF/Mo,Industrial,"8,000 - 17,400 SF",2 Spaces,NY,For Lease,Office,"[('Myrtle-Willoughby Avenues Transit Stop', '7 min walk', '0.3 mi'), ('Bedford-Nostrand Avenues Transit Stop', '11 min walk', '0.5 mi'), ('Flushing Avenue', '13 min walk', '0.7 mi'), ('Classon Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Lorimer Street', '19 min walk', '0.9 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '3 min drive', '1.4 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '5 min drive', '1.9 mi'), ('La Guardia Airport', '16 min drive', '8.9 mi'), ('John F. Kennedy International Airport', '20 min drive', '11.9 mi'), ('Newark Liberty International Airport', '34 min drive', '15.7 mi'), ('NY - Red Hook Container Terminal', '8 min drive', '3.6 mi'), ('PORT OF NEW YORK AND NEW JERSEY', '9 min drive', '3.7 mi')]",Gas
315 Jackson Ave,,"12,432 SF",Bronx,"Rental Rate,$17.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,4,000 SF,Rentable Building Area,12,432 SF,Property Type,Industrial,Year Built,1931",3/14/2019,15441948,$1.46 SF/Mo,Industrial,"4,000 - 10,350 SF",1 Space,NY,For Lease,Flex,"[('Cypress Avenue Transit Stop', '5 min walk', '0.2 mi'), ('East 143 Street-St Marys Street Transit Stop', '7 min walk', '0.3 mi'), ('Brook Avenue Transit Stop', '10 min walk', '0.5 mi'), ('East 149 Street Transit Stop', '13 min walk', '0.7 mi'), ('Jackson Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Harlem-125th Street Station Commuter Rail (Hudson, Harlem, New Haven Lines)', '5 min drive', '1.9 mi'), ('Melrose Station Commuter Rail (Harlem Line)', '6 min drive', '2.1 mi'), ('La Guardia Airport', '14 min drive', '6.4 mi'), ('John F. Kennedy International Airport', '27 min drive', '17.4 mi'), ('Newark Liberty International Airport', '39 min drive', '23.2 mi'), ('NY - Red Hook Container Terminal', '23 min drive', '13.6 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '18 min drive', '11.7 mi')]",
35 Colonial Pl,,"11,000 SF",Mount Vernon,"Rental Rate,$16.66 /SF/YR,Rentable Building Area,11,000 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",3/14/2019,15442517,$1.39 SF/Mo,Industrial,"1,440 SF",1 Space,NY,For Lease,Industrial,"[('Pelham Station Commuter Rail (New Haven Line)', '4 min drive', '1.1 mi'), ('Mount Vernon East Station Commuter Rail (New Haven Line)', '4 min drive', '1.4 mi'), ('La Guardia Airport', '22 min drive', '13.3 mi'), ('Westchester County Airport', '27 min drive', '17.0 mi'), ('John F. Kennedy International Airport', '30 min drive', '20.8 mi'), ('NY - Red Hook Container Terminal', '37 min drive', '22.9 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '26 min drive', '16.2 mi')]",
12 Underwood St,,"4,163 SF",Patchogue,"Rental Rate,$17.00 /SF/YR,Rentable Building Area,4,163 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",3/14/2019,15448178,$1.42 SF/Mo,Industrial,"4,000 SF",1 Space,NY,For Lease,Industrial,"[('Patchogue Station Commuter Rail (Montauk Branch)', '10 min walk', '0.5 mi'), ('Sayville Station Commuter Rail (Montauk Branch)', '10 min drive', '4.4 mi'), ('Long Island MacArthur Airport', '12 min drive', '6.7 mi'), ('NY - Red Hook Container Terminal', '72 min drive', '57.8 mi'), ('Pinter Warehouse', '28 min drive', '19.4 mi')]",
592-608 Smith St,,"33,250 SF",Brooklyn,"Rental Rate,$17.00 /SF/YR,Rentable Building Area,33,250 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse",3/18/2019,15477802,$1.42 SF/Mo,Industrial,"5,000 SF",1 Space,NY,For Lease,Industrial,"[('Smith-9 Streets Transit Stop', '8 min walk', '0.4 mi'), ('Prospect Avenue', '16 min walk', '0.8 mi'), ('4 Avenue-9 Street', '18 min walk', '0.9 mi'), ('4 Avenue-9 Street', '18 min walk', '0.9 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '6 min drive', '2.2 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.6 mi'), ('La Guardia Airport', '21 min drive', '12.5 mi'), ('John F. Kennedy International Airport', '25 min drive', '14.4 mi'), ('Newark Liberty International Airport', '34 min drive', '15.8 mi'), ('NY - Red Hook Container Terminal', '3 min drive', '1.2 mi'), ('PORT OF NEW YORK AND NEW JERSEY', '2 min drive', '0.9 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
174 Route 17,"24 Hour Access,Property Manager on Site,Signage,Yard,Fluorescent Lighting,Air Conditioning","20,210 SF",Sloatsburg,"Rental Rate,$9.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,8,500 SF,Rentable Building Area,20,210 SF,Property Type,Industrial,Year Built,1970",3/26/2019,15547044,$0.75 SF/Mo,Industrial,"8,500 - 13,070 SF",1 Space,NY,For Lease,Industrial,"[('Sloatsburg Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '15 min walk', '0.8 mi'), ('Suffern Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '8 min drive', '4.0 mi'), ('Westchester County Airport', '46 min drive', '33.9 mi'), ('Stewart International Airport', '48 min drive', '35.2 mi'), ('Port Newark Container Terminal', '57 min drive', '40.1 mi'), ('NS INDEPENDENT BULK TRANSFER TERMINAL-PATTERSON-NJ', '31 min drive', '21.3 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating"
160 Wilbur Pl,Signage,"62,710 SF",Bohemia,"Rental Rate,$9.75 /SF/YR,Rentable Building Area,62,710 SF,Property Type,Industrial,Year Built,1978,Property Subtype,Warehouse",4/1/2019,15599600,$0.81 SF/Mo,Industrial,"6,900 SF",1 Space,NY,For Lease,Industrial,"[('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '8 min drive', '2.9 mi'), ('Oakdale Station Commuter Rail (Montauk Branch)', '9 min drive', '4.0 mi'), ('Long Island MacArthur Airport', '5 min drive', '1.5 mi'), ('NY - Red Hook Container Terminal', '69 min drive', '53.9 mi'), ('Pinter Warehouse', '24 min drive', '15.4 mi')]","Sewer - Septic Field,Heating - Gas"
140-194 Miller Pl,,"54,000 SF",Hicksville,"Rental Rate,$16.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,7,200 SF,Rentable Building Area,54,000 SF,Property Type,Industrial,Year Built,1962",4/2/2019,15608594,$1.33 SF/Mo,Industrial,"7,200 - 21,750 SF",1 Space,NY,For Lease,Industrial,,"Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
874 Long Island Ave,Fenced Lot,"12,015 SF",Deer Park,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,12,015 SF,Property Type,Industrial,Year Built,1962,Property Subtype,Warehouse",4/3/2019,15618521,$1.00 SF/Mo,Industrial,"7,515 SF",1 Space,NY,For Lease,Industrial,"[('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '5 min drive', '1.9 mi'), ('Wyandanch Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '2.2 mi'), ('Long Island MacArthur Airport', '25 min drive', '14.6 mi'), ('John F. Kennedy International Airport', '39 min drive', '32.3 mi'), ('La Guardia Airport', '48 min drive', '39.3 mi'), ('NY - Red Hook Container Terminal', '53 min drive', '41.9 mi'), ('Pinter Warehouse', '1 min drive', '0.3 mi')]",
677 Nepperhan Ave,"24 Hour Access,Bus Line,Signage,Storage Space","14,000 SF",Yonkers,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,14,000 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",4/3/2019,15624643,$1.00 SF/Mo,Industrial,"14,000 SF",1 Space,NY,For Lease,Industrial,"[('Yonkers Station Commuter Rail (Hudson Line)', '4 min drive', '1.9 mi'), ('Glenwood Station Commuter Rail (Hudson Line)', '5 min drive', '2.1 mi'), ('La Guardia Airport', '27 min drive', '18.3 mi'), ('Westchester County Airport', '27 min drive', '19.6 mi'), ('John F. Kennedy International Airport', '38 min drive', '26.2 mi'), ('NY - Red Hook Container Terminal', '34 min drive', '24.0 mi'), ('NEW YORK, SUSQUEHANNA AND WESTERN', '27 min drive', '19.9 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Electric"
153 58th St,,"28,000 SF",Brooklyn,"Rental Rate,$19.00 /SF/YR,Rentable Building Area,28,000 SF,Property Type,Industrial,Year Built,1947,Property Subtype,Warehouse",5/23/2018,15671328,$1.58 SF/Mo,Industrial,"16,000 SF",1 Space,NY,For Lease,Industrial,"[('59 Street', '8 min walk', '0.4 mi'), ('53 Street Transit Stop', '12 min walk', '0.6 mi'), ('Bay Ridge Avenue Transit Stop', '17 min walk', '0.8 mi'), ('45 Street Transit Stop', '20 min walk', '1.0 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '10 min drive', '4.1 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '12 min drive', '5.6 mi'), ('La Guardia Airport', '26 min drive', '14.1 mi'), ('John F. Kennedy International Airport', '29 min drive', '16.0 mi'), ('Newark Liberty International Airport', '39 min drive', '18.4 mi'), ('NY - Red Hook Container Terminal', '9 min drive', '3.8 mi'), ('Liberty Transmodal, Inc. c/o Cross Harbor', '2 min drive', '0.8 mi')]",
485 S Pearl St,Bus Line,"6,869 SF",Albany,"Rental Rate,$3.50 /SF/YR,Rentable Building Area,6,869 SF,Property Type,Industrial,Year Built,1858,Property Subtype,Warehouse",4/11/2019,15705489,$0.29 SF/Mo,Industrial,"6,869 SF",1 Space,NY,For Lease,Industrial,"[('Albany International Airport', '23 min drive', '11.0 mi'), ('Albany, NY Port', '4 min drive', '1.3 mi'), ('TRANSPLASTICS, INC-ALBANY-NY', '3 min drive', '1.0 mi')]",
130 Knickerbocker Ave,,"27,677 SF",Bohemia,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,27,677 SF,Property Type,Industrial,Year Built,2004,Property Subtype,Warehouse",4/10/2019,15693040,$1.00 SF/Mo,Industrial,"1,750 SF",1 Space,NY,For Lease,Industrial,"[('Sayville Station Commuter Rail (Montauk Branch)', '8 min drive', '2.8 mi'), ('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '10 min drive', '4.1 mi'), ('Long Island MacArthur Airport', '6 min drive', '2.3 mi'), ('NY - Red Hook Container Terminal', '67 min drive', '53.6 mi'), ('Pinter Warehouse', '23 min drive', '15.1 mi')]",
60 S 2nd St,"24 Hour Access,Bus Line,Property Manager on Site,Signage","40,000 SF",Deer Park,"Rental Rate,$12.15 - $16.00 /SF/YR,Rentable Building Area,40,000 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse",3/18/2020,15742735,$1.01 - $1.33 SF/Mo,Industrial,"1,500 - 5,500 SF",2 Spaces,NY,For Lease,Industrial,"[('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '5 min walk', '0.2 mi'), ('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '9 min drive', '3.2 mi'), ('Long Island MacArthur Airport', '24 min drive', '13.7 mi'), ('John F. Kennedy International Airport', '42 min drive', '35.0 mi'), ('NY - Red Hook Container Terminal', '57 min drive', '44.7 mi'), ('Pinter Warehouse', '7 min drive', '2.2 mi')]",Heating - Gas
45 Ryan Ave,"24 Hour Access,Bus Line,Commuter Rail,Fenced Lot,Floor Drains,Yard,Storage Space","35,550 SF",Port Chester,"Rental Rate,$18.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,8,000 SF,Rentable Building Area,35,550 SF,Property Type,Industrial,Year Built,1960",4/18/2019,15774652,$1.50 SF/Mo,Industrial,"8,000 - 16,400 SF",1 Space,NY,For Lease,Industrial,"[('Port Chester Station Commuter Rail (New Haven Line)', '13 min walk', '0.6 mi'), ('Rye Station Commuter Rail (New Haven Line)', '4 min drive', '1.8 mi'), ('Westchester County Airport', '14 min drive', '6.8 mi'), ('La Guardia Airport', '38 min drive', '24.3 mi'), ('John F. Kennedy International Airport', '46 min drive', '31.9 mi'), ('NY - Red Hook Container Terminal', '52 min drive', '34.0 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '7 min drive', '3.2 mi')]",
2411 Chestnut Ave,Signage,"5,253 SF",Ronkonkoma,"Rental Rate,$23.00 /SF/YR,Rentable Building Area,5,253 SF,Property Type,Industrial,Year Built,1961,Property Subtype,Warehouse",4/15/2019,15900690,$1.92 SF/Mo,Industrial,800 SF,1 Space,NY,For Lease,Retail,"[('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '19 min walk', '0.9 mi'), ('Central Islip Station Commuter Rail (Ronkonkoma Branch)', '10 min drive', '4.7 mi'), ('Long Island MacArthur Airport', '8 min drive', '2.8 mi'), ('NY - Red Hook Container Terminal', '70 min drive', '55.1 mi'), ('Pinter Warehouse', '22 min drive', '13.3 mi')]",
186 Morgan Ave,,"12,500 SF",Brooklyn,"Rental Rate,$10.00 - $36.00 /SF/YR,Rentable Building Area,12,500 SF,Property Type,Industrial,Year Built,1963,Property Subtype,Warehouse",2/18/2020,14500803,$0.83 - $3.00 SF/Mo,Industrial,"1,800 - 8,050 SF",3 Spaces,NY,For Lease,"Office/Retail, Retail","[('Morgan Avenue Transit Stop', '7 min walk', '0.4 mi'), ('Grand Street', '10 min walk', '0.5 mi'), ('Montrose Avenue Transit Stop', '10 min walk', '0.5 mi'), ('Graham Avenue Transit Stop', '15 min walk', '0.8 mi'), ('Jefferson Street Transit Stop', '17 min walk', '0.8 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '8 min drive', '3.2 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.5 mi'), ('La Guardia Airport', '13 min drive', '7.0 mi'), ('John F. Kennedy International Airport', '21 min drive', '11.3 mi'), ('Newark Liberty International Airport', '35 min drive', '15.8 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '6.0 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.2 mi')]","Lighting,Water,Sewer,Heating"
105 Madison Ave,"Skylights,Storage Space","5,500 SF",Hempstead,"Rental Rate,$12.50 /SF/YR,Rentable Building Area,5,500 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",12/6/2018,14568471,$1.04 SF/Mo,Industrial,"5,500 SF",1 Space,NY,For Lease,Industrial,,"Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
16725 Rockaway Blvd,,"24,000 SF",Jamaica,"Rental Rate,$21.50 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,798 SF,Rentable Building Area,24,000 SF,Property Type,Industrial,Year Built,1971",2/21/2019,14662165,$1.79 SF/Mo,Industrial,"1,798 - 24,000 SF",2 Spaces,NY,For Lease,"Office, Industrial",,Heating - Gas
292-300 Liberty Ave,,"82,000 SF",Brooklyn,"Rental Rate,$15.50 /SF/YR,Rentable Building Area,82,000 SF,Property Type,Industrial,Year Built,2005,Property Subtype,Warehouse",12/18/2018,14662822,$1.29 SF/Mo,Industrial,"40,000 - 82,000 SF",2 Spaces,NY,For Lease,Industrial,,"Gas,Heating - Gas"
2069 Central Ave,Air Conditioning,"6,755 SF",Colonie,"Rental Rate,$7.50 - $11.50 /SF/YR,Rentable Building Area,6,755 SF,Property Type,Industrial,Year Built,2020,Property Subtype,Warehouse",11/2/2018,14663690,$0.63 - $0.96 SF/Mo,Industrial,"3,376 - 6,752 SF",2 Spaces,NY,For Lease,"Retail, Industrial",,
1616-1632 McDonald Ave,,"38,600 SF",Brooklyn,"Rental Rate,$30.00 /SF/YR,Rentable Building Area,38,600 SF,Property Type,Industrial,Year Built,1989,Property Subtype,Warehouse",1/4/2019,14768094,$2.50 SF/Mo,Industrial,"16,750 SF",1 Space,NY,For Lease,Industrial,"[('Avenue N Transit Stop', '3 min walk', '0.2 mi'), ('Avenue P Transit Stop', '6 min walk', '0.3 mi'), ('Bay Parkway', '11 min walk', '0.5 mi'), ('Bay Parkway', '13 min walk', '0.6 mi'), ('20 Avenue', '16 min walk', '0.8 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '12 min drive', '5.8 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '11 min drive', '6.0 mi'), ('La Guardia Airport', '27 min drive', '15.3 mi'), ('John F. Kennedy International Airport', '24 min drive', '17.4 mi'), ('Newark Liberty International Airport', '40 min drive', '20.4 mi'), ('NY - Red Hook Container Terminal', '10 min drive', '5.8 mi'), ('Liberty Transmodal, Inc. c/o Cross Harbor', '10 min drive', '4.1 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Fired Oil"
6724 Joy Rd,"Front Loading,Security System,Storage Space,Air Conditioning","20,888 SF",East Syracuse,"Rental Rate,$7.00 /SF/YR,Rentable Building Area,20,888 SF,Property Type,Industrial,Year Built,1968,Property Subtype,Warehouse",1/4/2019,14773074,$0.58 SF/Mo,Industrial,"20,803 SF",1 Space,NY,For Lease,Industrial,"[('Syracuse Hancock International Airport', '15 min drive', '6.3 mi'), ('Albany, NY Port', '168 min drive', '141.1 mi'), ('BNSF-SYRACUSE-NY', '7 min drive', '3.2 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
8-10 Cairn St,"Bus Line,Signage","296,207 SF",Rochester,"Rental Rate,$2.50 - $4.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,4,257 SF,Rentable Building Area,296,207 SF,Property Type,Industrial,Year Built,1960",9/6/2019,14813939,$0.21 - $0.33 SF/Mo,Industrial,"4,257 - 110,296 SF",3 Spaces,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '8 min drive', '3.8 mi'), ('Albany, NY Port', '271 min drive', '229.2 mi'), ('J. MacKenzie Limited', '15 min drive', '7.1 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
